Number of species	22
Number of genes	696531
Number of genes in orthogroups	641512
Number of unassigned genes	55019
Percentage of genes in orthogroups	92.1
Percentage of unassigned genes	7.9
Number of orthogroups	44448
Number of species-specific orthogroups	14834
Number of genes in species-specific orthogroups	69962
Percentage of genes in species-specific orthogroups	10.0
Mean orthogroup size	14.4
Median orthogroup size	5.0
G50 (assigned genes)	29
G50 (all genes)	27
O50 (assigned genes)	5067
O50 (all genes)	6040
Number of orthogroups with all species present	3778
Number of single-copy orthogroups	87
Date	2025-11-03
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	33369	75.1	169967	26.5
'1	8816	19.8	246804	38.5
'2	1066	2.4	56253	8.8
'3	423	1.0	31818	5.0
'4	255	0.6	24880	3.9
'5	150	0.3	17986	2.8
'6	74	0.2	10521	1.6
'7	55	0.1	8972	1.4
'8	41	0.1	7682	1.2
'9	30	0.1	6291	1.0
'10	27	0.1	6287	1.0
11-15	85	0.2	24290	3.8
16-20	34	0.1	13548	2.1
21-50	21	0.0	13378	2.1
51-100	2	0.0	2835	0.4
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	14834
2	12178
3	2136
4	1348
5	817
6	630
7	464
8	290
9	236
10	224
11	262
12	237
13	267
14	265
15	336
16	394
17	539
18	682
19	805
20	1219
21	2507
22	3778
