Pathway	Subcategory	Accession	Name
immune system	immune response	GO:0006955	immune response
immune system	immune response	GO:0002253	activation of immune response
immune system	immune response	GO:0002218	activation of innate immune response
immune system	immune response	GO:0002757	immune response–activating signaling pathway
immune system	immune response	GO:0002764	immune response–regulating signaling pathway
immune system	immune response	GO:0050778	positive regulation of immune response
immune system	immune response	GO:0002684	positive regulation of immune system process
immune system	immune response	GO:0002699	positive regulation of immune effector process
immune system	immune response	GO:0002700	regulation of production of molecular mediator of immune response
immune system	immune response	GO:0002702	regulation of production of molecular mediator of immune response
immune system	pattern recognition & danger signaling	GO:0002753	cytosolic pattern recognition receptor signaling pathway
immune system	pattern recognition & danger signaling	GO:0070498	interleukin-1–mediated signaling pathway
immune system	pattern recognition & danger signaling	GO:0070555	response to interleukin-1
immune system	pattern recognition & danger signaling	GO:0071347	cellular response to interleukin-1
immune system	pattern recognition & danger signaling	GO:0043123	positive regulation of canonical NF-kappaB signal transduction
immune system	antiviral & symbiont defense	GO:0051607	defense response to virus
immune system	antiviral & symbiont defense	GO:0140546	defense response to symbiont
immune system	antiviral & symbiont defense	GO:0009615	response to virus
immune system	antiviral & symbiont defense	GO:0044403	biological process involved in symbiotic interaction
immune system	autophagy-mediated immunity	GO:0000423	mitophagy
immune system	autophagy-mediated immunity	GO:0010508	positive regulation of autophagy
immune system	autophagy-mediated immunity	GO:0016236	macroautophagy
immune system	autophagy-mediated immunity	GO:0061912	selective autophagy
immune system	signalling & transport	GO:0007186	G-protein coupled receptor signaling pathway
immune system	signalling & transport	GO:0007156	homophilic cell adhesion
immune system	signalling & transport	GO:0055085	transmembrane transport
longevity	oxidative stress response	GO:1900408	negative regulation of cellular response to oxidative stress
longevity	oxidative stress response	GO:1902883	negative regulation of response to oxidative stress
longevity	oxidative stress response	GO:1903202	negative regulation of oxidative stress-induced cell death
longevity	oxidative stress response	GO:1903377	negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway
longevity	oxidative stress response	GO:1903201	regulation of oxidative stress-induced cell death
longevity	oxidative stress response	GO:1903376	regulation of oxidative stress-induced intrinsic apoptotic signaling pathway
longevity	oxidative stress response	GO:1902176	negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway
longevity	oxidative stress response	GO:1900407	regulation of cellular response to oxidative stress
longevity	oxidative stress response	GO:1902882	regulation of response to oxidative stress
longevity	oxidative stress response	GO:0036473	cell death in response to oxidative stress
longevity	oxidative stress response	GO:0036475	neuron death in response to oxidative stress
longevity	oxidative stress response	GO:0070301	cellular response to hydrogen peroxide
longevity	apoptosis & cell death regulation	GO:2001242	regulation of intrinsic apoptotic signaling pathway
longevity	apoptosis & cell death regulation	GO:2001234	negative regulation of apoptotic signaling pathway
longevity	apoptosis & cell death regulation	GO:0043457	regulation of cellular respiration
longevity	apoptosis & cell death regulation	GO:0042981	regulation of apoptotic process
longevity	apoptosis & cell death regulation	GO:0010942	positive regulation of cell death
longevity	apoptosis & cell death regulation	GO:0043065	positive regulation of apoptotic process
longevity	apoptosis & cell death regulation	GO:0043068	positive regulation of programmed cell death
longevity	apoptosis & cell death regulation	GO:0008219	cell death
longevity	apoptosis & cell death regulation	GO:1903203	regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway
longevity	apoptosis & cell death regulation	GO:0090174	organelle membrane fusion
longevity	apoptosis & cell death regulation	GO:0036480	neuron intrinsic apoptotic signaling pathway
longevity	autophagy & proteostasis	GO:0000045	autophagosome assembly
longevity	autophagy & proteostasis	GO:1905037	autophagosome organization
longevity	autophagy & proteostasis	GO:0051788	response to misfolded protein
longevity	autophagy & proteostasis	GO:0071218	cellular response to misfolded protein
longevity	autophagy & proteostasis	GO:0042144	vacuole fusion, non-autophagic
longevity	autophagy & proteostasis	GO:0035493	SNARE complex assembly
longevity	autophagy & proteostasis	GO:0035542	regulation of SNARE complex assembly
longevity	hypoxia & cellular stress response	GO:0071456	cellular response to hypoxia
longevity	hypoxia & cellular stress response	GO:0036294	cellular response to decreased oxygen levels
longevity	hypoxia & cellular stress response	GO:0071478	cellular response to radiation
longevity	hypoxia & cellular stress response	GO:0009416	response to light stimulus
longevity	hypoxia & cellular stress response	GO:0071478	cellular response to radiation
longevity	hypoxia & cellular stress response	GO:0071482	cellular response to light stimulus
longevity	DNA damage response	GO:2001022	positive regulation of response to DNA damage stimulus
