	Aplysia_californica	Arctic_surfclam	Bay_scallop	Black_lip_rock_oyster	Blue_mussel	California_two_spot_octopus	Chinese_camelback_chiton	Common_water_flea	Dreissena_polymorpha	Eastern_oyster	Greenland_cockle	Manila_clam	Mediterranean_mussel	Northern_propeller_clam	Northern_quahog	Pictodentalium_vernedei	Potamilus_streckersoni	Rough_periwinkle	Sinanodonta_woodiana	Siphonodentalium_dalli	Soft_shell_clam	Yesso_scallop
Number of genes	21840	12399	31709	29508	44306	19119	19202	17904	42508	38195	16127	44099	30461	40567	43039	32166	37012	32917	42645	31410	40829	28569
Number of genes in orthogroups	19931	12048	30203	28598	42651	17966	18004	16720	40792	37315	15606	42831	29890	32078	41616	25173	27985	30872	37651	27567	39037	26978
Number of unassigned genes	1909	351	1506	910	1655	1153	1198	1184	1716	880	521	1268	571	8489	1423	6993	9027	2045	4994	3843	1792	1591
Percentage of genes in orthogroups	91.3	97.2	95.3	96.9	96.3	94.0	93.8	93.4	96.0	97.7	96.8	97.1	98.1	79.1	96.7	78.3	75.6	93.8	88.3	87.8	95.6	94.4
Percentage of unassigned genes	8.7	2.8	4.7	3.1	3.7	6.0	6.2	6.6	4.0	2.3	3.2	2.9	1.9	20.9	3.3	21.7	24.4	6.2	11.7	12.2	4.4	5.6
Number of orthogroups containing species	11609	9292	14199	14356	16934	10163	11219	7922	14065	14497	9578	16077	15716	13543	15854	12867	14845	12975	15180	10686	14273	14065
Percentage of orthogroups containing species	26.1	20.9	31.9	32.3	38.1	22.9	25.2	17.8	31.6	32.6	21.5	36.2	35.4	30.5	35.7	28.9	33.4	29.2	34.2	24.0	32.1	31.6
Number of species-specific orthogroups	562	26	446	407	819	474	379	926	966	914	112	745	154	1032	856	961	726	1381	960	743	988	257
Number of genes in species-specific orthogroups	2334	74	1778	1590	2772	2261	1310	4892	5610	4178	335	2971	429	6945	3342	3182	2546	7976	4721	4868	5016	832
Percentage of genes in species-specific orthogroups	10.7	0.6	5.6	5.4	6.3	11.8	6.8	27.3	13.2	10.9	2.1	6.7	1.4	17.1	7.8	9.9	6.9	24.2	11.1	15.5	12.3	2.9


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	32839	35156	30249	30092	27514	34285	33229	36526	30383	29951	34870	28371	28732	30905	28594	31581	29603	31473	29268	33762	30175	30383
'1	8156	8008	9213	9983	10163	7394	8435	5191	7495	7706	6004	8827	11093	7245	9384	7783	10025	8175	10034	7451	7809	9517
'2	1999	803	2444	2409	3105	1525	1561	1393	3056	3595	2623	3571	2319	3788	2917	3029	2587	2319	2449	1682	3163	2396
'3	639	216	895	731	1258	473	554	543	1149	1066	482	1280	869	1113	1163	937	907	924	766	490	1003	813
'4	302	104	515	371	698	274	236	250	611	642	181	682	457	493	675	392	457	456	446	247	597	447
'5	165	53	301	206	392	139	129	131	408	357	102	401	242	255	383	207	242	254	264	147	357	230
'6	83	31	195	138	278	82	74	86	244	264	55	243	158	159	254	131	141	175	205	106	292	160
