# BUSCO version is: 5.8.2 
# The lineage dataset is: mollusca_odb12 (Creation date: 2025-04-11, number of genomes: 36, number of BUSCOs: 4421)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
14at6447	Complete	JASFXZ010000002.1	14164519	14160383	-	262.3	125
51at6447	Complete	JASFXZ010000003.1	2528446	2532574	+	219.7	110
91at6447	Complete	JASFXZ010000017.1	6208688	6210867	+	251.8	160
106at6447	Complete	JASFXZ010000017.1	6206257	6204631	-	294.9	163
135at6447	Complete	JASFXZ010000019.1	1247420	1244766	-	356.3	172
143at6447	Complete	JASFXZ010000021.1	3713158	3637860	-	917.2	460
169at6447	Complete	JASFXZ010000020.1	9122113	9124471	+	540.6	252
190at6447	Complete	JASFXZ010000015.1	14182754	14174013	-	216.5	105
218at6447	Complete	JASFXZ010000002.1	15263383	15252440	-	411.0	320
270at6447	Complete	JASFXZ010000129.1	9571	22261	+	549.4	356
323at6447	Complete	JASFXZ010000005.1	29184717	29194197	+	659.4	334
342at6447	Complete	JASFXZ010000028.1	3730052	3731692	+	251.6	144
357at6447	Complete	JASFXZ010000003.1	29307424	29300811	-	624.8	307
364at6447	Fragmented	JASFXZ010000040.1	3066869	3065598	-	90.4	57
402at6447	Complete	JASFXZ010000001.1	9090042	9084902	-	626.7	316
408at6447	Complete	JASFXZ010000004.1	29247512	29254243	+	512.7	288
425at6447	Complete	JASFXZ010000038.1	4018774	4013803	-	509.3	252
441at6447	Complete	JASFXZ010000114.1	128491	131553	+	453.7	215
462at6447	Complete	JASFXZ010000004.1	8744449	8737177	-	269.7	151
490at6447	Complete	JASFXZ010000011.1	6088672	6093020	+	357.9	166
501at6447	Complete	JASFXZ010000008.1	8459381	8467285	+	357.1	172
522at6447	Complete	JASFXZ010000001.1	6017544	6013227	-	440.7	270
566at6447	Complete	JASFXZ010000011.1	20093577	20097390	+	514.0	272
598at6447	Complete	JASFXZ010000002.1	55451554	55492662	+	1386.0	972
611at6447	Complete	JASFXZ010000045.1	686423	680600	-	670.6	329
625at6447	Complete	JASFXZ010000018.1	7113193	7126151	+	880.6	573
744at6447	Complete	JASFXZ010000001.1	27540080	27532698	-	789.6	393
761at6447	Complete	JASFXZ010000001.1	17030183	17027863	-	300.5	186
766at6447	Complete	JASFXZ010000006.1	8967022	8970826	+	171.0	113
775at6447	Complete	JASFXZ010000022.1	3406872	3409413	+	301.4	144
885at6447	Complete	JASFXZ010000003.1	32132514	32137894	+	388.6	221
957at6447	Complete	JASFXZ010000003.1	33114123	33122091	+	291.8	142
963at6447	Complete	JASFXZ010000046.1	2089332	2085508	-	388.1	234
978at6447	Complete	JASFXZ010000005.1	31954587	31937166	-	186.4	144
983at6447	Complete	JASFXZ010000005.1	32861822	32881200	+	437.9	275
999at6447	Complete	JASFXZ010000026.1	7117118	7098968	-	433.5	237
1003at6447	Complete	JASFXZ010000007.1	6110411	6095941	-	595.3	340
1044at6447	Complete	JASFXZ010000003.1	35558825	35568088	+	825.8	404
1047at6447	Complete	JASFXZ010000003.1	33394173	33398014	+	488.9	275
1055at6447	Missing
1084at6447	Complete	JASFXZ010000002.1	18068329	18065210	-	378.5	174
1094at6447	Complete	JASFXZ010000005.1	17860141	17853474	-	349.7	255
1099at6447	Complete	JASFXZ010000009.1	8762885	8745790	-	658.4	445
