# BUSCO version is: 5.8.2 
# The lineage dataset is: mollusca_odb12 (Creation date: 2025-04-11, number of genomes: 36, number of BUSCOs: 4421)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
14at6447	Duplicated	JAWPHD010000101.1	628281	616362	-	261.2	125
14at6447	Duplicated	JAWPHD010006732.1	62775	76173	+	261.2	125
51at6447	Complete	JAWPHD010004824.1	53952	43561	-	217.4	110
91at6447	Duplicated	JAWPHD010002602.1	178578	181176	+	252.2	160
91at6447	Duplicated	JAWPHD010013109.1	20680	23376	+	252.2	160
106at6447	Complete	JAWPHD010002602.1	160365	156238	-	278.7	163
135at6447	Fragmented	JAWPHD010014454.1	31540	316	-	189.7	103
143at6447	Complete	JAWPHD010011813.1	23810	131	-	843.9	416
169at6447	Complete	JAWPHD010002748.1	104598	101471	-	527.5	252
190at6447	Complete	JAWPHD010004027.1	138035	151459	+	205.8	107
218at6447	Complete	JAWPHD010005495.1	100082	115185	+	426.5	344
270at6447	Complete	JAWPHD010008395.1	58112	84972	+	547.3	366
323at6447	Duplicated	JAWPHD010010846.1	24633	42523	+	656.8	334
323at6447	Duplicated	JAWPHD010000098.1	250508	262378	+	640.2	334
342at6447	Fragmented	JAWPHD010010169.1	86563	91201	+	218.2	128
357at6447	Complete	JAWPHD010009108.1	103370	94715	-	584.3	277
364at6447	Fragmented	JAWPHD010002268.1	2527	2369	-	77.2	50
402at6447	Complete	JAWPHD010005943.1	48972	95977	+	613.5	316
408at6447	Complete	JAWPHD010005128.1	111633	128839	+	526.0	289
425at6447	Complete	JAWPHD010013431.1	12507	24498	+	518.6	252
441at6447	Complete	JAWPHD010008930.1	81838	72873	-	428.7	215
462at6447	Complete	JAWPHD010008269.1	68001	86165	+	285.1	151
490at6447	Complete	JAWPHD010003042.1	117923	126738	+	365.4	165
501at6447	Complete	JAWPHD010010238.1	68563	52201	-	347.9	172
522at6447	Fragmented	JAWPHD010015863.1	15344	9488	-	295.4	190
566at6447	Complete	JAWPHD010015363.1	47806	27530	-	525.1	274
598at6447	Fragmented	JAWPHD010000479.1	148373	143784	-	1689.2	278
611at6447	Complete	JAWPHD010001837.1	164623	264248	+	682.9	329
625at6447	Complete	JAWPHD010010055.1	49239	88257	+	779.7	570
744at6447	Complete	JAWPHD010001030.1	63328	47458	-	789.5	394
761at6447	Duplicated	JAWPHD010010880.1	29726	33285	+	341.0	207
761at6447	Duplicated	JAWPHD010000014.1	775776	779326	+	344.2	205
766at6447	Complete	JAWPHD010000356.1	189633	166627	-	211.6	135
775at6447	Complete	JAWPHD010011869.1	52005	39741	-	319.6	144
885at6447	Complete	JAWPHD010003065.1	72424	57678	-	389.1	225
957at6447	Duplicated	JAWPHD010006767.1	40531	18720	-	295.9	139
957at6447	Duplicated	JAWPHD010001520.1	101713	74196	-	263.3	139
963at6447	Complete	JAWPHD010004801.1	100998	85004	-	371.3	234
978at6447	Duplicated	JAWPHD010013246.1	54465	59461	+	183.2	146
978at6447	Duplicated	JAWPHD010010544.1	34149	38487	+	181.9	143
983at6447	Complete	JAWPHD010011957.1	24112	48140	+	420.4	274
999at6447	Missing
1003at6447	Complete	JAWPHD010014476.1	29422	10722	-	665.7	340
1044at6447	Complete	JAWPHD010008421.1	77655	110834	+	818.2	405
