# BUSCO version is: 5.8.2 
# The lineage dataset is: mollusca_odb12 (Creation date: 2025-04-11, number of genomes: 36, number of BUSCOs: 4421)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
14at6447	Complete	JASEVX010000001.1	37708869	37721838	+	230.9	125
51at6447	Missing
91at6447	Complete	JASEVX010000047.1	542353	545898	+	254.4	161
106at6447	Complete	JASEVX010000047.1	537756	534339	-	291.7	164
135at6447	Complete	JASEVX010000004.1	2795733	2785584	-	356.6	172
143at6447	Complete	JASEVX010000024.1	2117529	1974527	-	723.4	426
169at6447	Complete	JASEVX010000008.1	54164228	54168998	+	542.0	252
190at6447	Complete	JASEVX010000006.1	48766555	48776520	+	198.2	107
218at6447	Complete	JASEVX010000001.1	58101806	58075550	-	511.2	376
270at6447	Complete	JASEVX010000003.1	19860071	19831775	-	560.6	366
323at6447	Complete	JASEVX010000015.1	18593308	18616272	+	633.8	334
342at6447	Complete	JASEVX010000003.1	47549873	47553250	+	287.0	160
357at6447	Complete	JASEVX010000004.1	73054152	73043932	-	640.3	307
364at6447	Complete	JASEVX010000001.1	145486852	145495284	+	101.7	85
402at6447	Complete	JASEVX010000001.1	161367447	161351505	-	611.1	316
408at6447	Complete	JASEVX010000005.1	13553067	13543713	-	515.5	291
425at6447	Complete	JASEVX010000008.1	30759409	30743137	-	516.8	252
441at6447	Complete	JASEVX010000011.1	35960021	35963622	+	434.0	214
462at6447	Complete	JASEVX010000005.1	80160602	80174851	+	249.5	151
490at6447	Complete	JASEVX010000003.1	115274441	115279708	+	359.3	163
501at6447	Missing
522at6447	Complete	JASEVX010000001.1	139512724	139506183	-	429.1	269
566at6447	Complete	JASEVX010000002.1	63416351	63421134	+	523.2	274
598at6447	Fragmented	JASEVX010000009.1	69199819	69194693	-	2613.0	259
611at6447	Complete	JASEVX010000004.1	2735175	2725814	-	703.1	329
625at6447	Complete	JASEVX010000003.1	106542556	106559696	+	921.7	573
744at6447	Complete	JASEVX010000008.1	42153075	42173254	+	757.1	394
761at6447	Missing
766at6447	Complete	JASEVX010000006.1	83693657	83684528	-	186.2	113
775at6447	Complete	JASEVX010000004.1	4569505	4580282	+	325.4	144
885at6447	Complete	JASEVX010000004.1	31836797	31862377	+	339.2	226
957at6447	Fragmented	JASEVX010000004.1	57875231	57887453	+	148.2	96
963at6447	Complete	JASEVX010000011.1	57593826	57589665	-	380.4	234
978at6447	Complete	JASEVX010000002.1	61592702	61583737	-	189.4	143
983at6447	Complete	JASEVX010000002.1	651497	681550	+	440.8	272
999at6447	Complete	JASEVX010000011.1	65369950	65489505	+	429.3	236
1003at6447	Complete	JASEVX010000013.1	24896674	24879783	-	667.4	340
1044at6447	Complete	JASEVX010000004.1	98438236	98452612	+	784.5	396
1047at6447	Complete	JASEVX010000004.1	94411245	94395539	-	513.1	294
1055at6447	Complete	JASEVX010000009.1	35442881	35425956	-	1025.9	493
1084at6447	Complete	JASEVX010000001.1	59854004	59851547	-	364.5	174
1094at6447	Complete	JASEVX010000005.1	12758277	12770908	+	412.9	255
1099at6447	Complete	JASEVX010000004.1	122921120	122904695	-	613.1	450
1100at6447	Complete	JASEVX010000004.1	142588384	142602824	+	463.8	218
1121at6447	Complete	JASEVX010000005.1	77810054	77812608	+	239.8	105
1130at6447	Complete	JASEVX010000003.1	16041379	16051171	+	278.1	172
1187at6447	Complete	JASEVX010000010.1	6493223	6482816	-	478.3	325
1207at6447	Complete	JASEVX010000008.1	58231908	58227434	-	203.3	95
1261at6447	Complete	JASEVX010000001.1	82461158	82470166	+	298.1	159
1283at6447	Complete	JASEVX010000001.1	214190096	214190854	+	301.7	206
1303at6447	Complete	JASEVX010000011.1	44521924	44540704	+	834.0	409
1321at6447	Complete	JASEVX010000013.1	55371431	55358833	-	347.3	167
1336at6447	Complete	JASEVX010000008.1	24966292	24976261	+	570.6	320
1341at6447	Complete	JASEVX010000001.1	90800646	90805172	+	349.4	262
1343at6447	Fragmented	JASEVX010000008.1	4159002	4146676	-	574.3	301
1371at6447	Complete	JASEVX010000011.1	21876924	21894437	+	201.5	132
1383at6447	Complete	JASEVX010000005.1	62786773	62778991	-	445.8	238
1394at6447	Complete	JASEVX010000009.1	37222989	37165509	-	592.4	323
1434at6447	Complete	JASEVX010000009.1	32338108	32400430	+	1029.4	658
1456at6447	Complete	JASEVX010000008.1	16942653	16950974	+	340.1	191
1478at6447	Complete	JASEVX010000017.1	81746	103771	+	779.4	401
1498at6447	Complete	JASEVX010000008.1	26996515	26981421	-	540.1	343
1512at6447	Duplicated	JASEVX010000674.1	33548	17432	-	255.6	198
1512at6447	Duplicated	JASEVX010000010.1	38606425	38590965	-	255.0	198
1593at6447	Complete	JASEVX010000001.1	85074703	85084113	+	266.8	146
